onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.340	ISI	0	0	 0.000
 1.340	 8.367	INSTR1	0	0	 0.000
 9.707	 3.347	ISI	0	0	 0.000
 13.054	 60.249	CONV1	0	0	 0.000
 73.303	 4.588	ISI	0	0	 0.000
 77.891	 8.367	INSTR1	0	0	 0.000
 86.258	 3.348	ISI	0	0	 0.000
 89.606	 60.248	CONV2	0	0	 0.000
 149.854	 4.590	ISI	0	0	 0.000
 154.444	 8.368	INSTR1	0	0	 0.000
 162.812	 3.347	ISI	0	0	 0.000
 166.159	 60.248	CONV1	0	0	 0.000
 226.407	 4.686	ISI	0	0	 0.000
 231.093	 8.367	INSTR1	0	0	 0.000
 239.460	 3.347	ISI	0	0	 0.000
 242.807	 60.249	CONV2	0	0	 0.000
 303.056	 4.685	ISI	0	0	 0.000
 307.741	 8.287	INSTR1	0	0	 0.000
 316.028	 60.248	CONV1	0	0	 0.000
 376.276	 4.686	ISI	0	0	 0.000
 380.962	 8.276	INSTR1	0	0	 0.000
 389.238	 3.347	ISI	0	0	 0.000
 392.585	 60.248	CONV2	0	0	 0.000
 452.833	 3.344	ISI	0	0	 0.000
